2 1 1 1 3 1 8 2 1 3 12 1 3 2 1 1 3 1 1 1 
3 2 3 2 4 2 10 3 2 6 18 2 4 3 2 2 4 3 3 2 
4 4 4 4 6 3 11 4 3 7 19 3 6 4 3 3 6 4 4 3 
6 7 6 6 9 4 24 6 4 9 20 6 9 6 6 7 7 5 6 4 
9 9 7 7 10 7 25 7 6 12 21 7 10 9 7 10 9 6 7 6 
12 10 9 9 16 9 29 9 12 19 22 9 11 10 9 12 10 15 9 7 
21 12 11 12 21 11 30 12 15 23 23 12 12 12 10 15 11 16 10 9 
23 15 12 15 23 12 38 15 19 26 29 19 15 16 12 16 12 18 12 11 
26 16 15 16 24 16 41 16 21 29 30 21 16 19 16 19 15 24 15 12 
32 19 19 17 26 21 43 18 24 31 34 23 24 24 19 21 16 25 16 19 
37 24 21 19 31 26 44 19 29 32 37 26 31 30 21 24 21 31 21 23 
41 31 23 21 32 32 45 24 31 35 39 29 32 31 23 26 24 32 24 24 
44 32 26 24 35 33 48 31 32 41 41 31 33 32 24 32 31 43 31 29 
48 33 29 31 41 35 50 32 33 44 45 32 35 33 32 35 32 49 33 32 
49 35 31 32 44 41 56 35 35 48 48 35 49 34 35 41 35 55 35 35 
51 49 32 35 48 44 63 43 43 49 58 41 50 35 41 44 49 58 49 44 
64 51 41 49 49 48 64 49 49 50 61 48 51 43 43 48 50 64 51 48 
82 55 44 51 51 49 66 51 62 51 62 49 55 51 44 49 51 89 56 49 
84 64 49 58 64 51 92 62 64 80 73 64 64 64 49 84 80 91 64 64 
90 92 50 84 92 90 94 92 80 92 87 94 80 92 62 92 92 92 92 84 
